Command,Description,Aliases,Permissions
!100,100,,Streamer; Mod; VIPS
!25,25,,Streamer; Mod; VIPS
!50,50,,Streamer; Mod; VIPS
!75,75,,Streamer; Mod; VIPS
!8ball,Ask the magic 8ball,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!account,StreamElements account info,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!bits,,,Streamer
!bot,Bot info,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!BromeoASSIST,Talk to Chat GPT,"bromeoassist; assist",Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!ch,Actieve Challenge herrinering,,Streamer
!challenge 1 behaald,challenge 1 behaald,,Streamer; Mod; VIPS
!challenge 1 gefaald,challenge 1 gefaald,,Streamer; Mod; VIPS
!challenge 2 behaald,challenge 2 behaald,,Streamer; Mod; VIPS
!challenge 2 gefaald,challenge 2 gefaald,,Streamer; Mod; VIPS
!challenge 3 behaald,challenge 3 behaald,,Streamer; Mod; VIPS
!challenge 3 gefaald,challenge 3 gefaald,,Streamer; Mod; VIPS
!challenge 4 behaald,challenge 4 behaald,,Streamer; Mod; VIPS
!challenge 4 gefaald,challenge 4 gefaald,,Streamer; Mod; VIPS
!challenge 5 behaald,challenge 5 behaald,,Streamer; Mod; VIPS
!challenge 5 gefaald,challenge 5 gefaald,,Streamer; Mod; VIPS
!challenge 6 behaald,challenge 6 behaald,,Streamer; Mod; VIPS
!challenge 6 gefaald,challenge 6 gefaald,,Streamer; Mod; VIPS
!challenge 7 behaald,challenge 7 behaald,,Streamer; Mod; VIPS
!challenge 7 gefaald,challenge 7gefaald,,Streamer; Mod; VIPS
!challenge 8 behaald,challenge 8 behaald,,Streamer; Mod; VIPS
!challenge 8 gefaald,challenge 8 gefaald,,Streamer; Mod; VIPS
!challenge 9 behaald,challenge 9 behaald,,Streamer; Mod; VIPS
!challenge 9 gefaald,challenge 9 gefaald,,Streamer; Mod; VIPS
!challenge 10 behaald,challenge 10 behaald,,Streamer; Mod; VIPS
!challenge 10 gefaald,challenge 10 gefaald,,Streamer; Mod; VIPS
!commands,Link to supported commands,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!contest,Link to active contest,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!currentsong,Show current song,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!do-it-to-it,,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!donate,,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!donation,,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!donatie,donatie,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!duels,Duel other chatters,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!emotes,BetterTTV emotes list,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!fireball,,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!followage,Shows follow duration,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower; Anyone
!fortnite,fortnite,,Streamer
!fuck you,!fuck you,"late; laat",Streamer
!gifts,,,Streamer
!giveaway,Voer de huidige giveaway in,,Streamer; Mod; VIPS; Tier 3 Sub; Tier 2 Sub; Subscriber; Follower
!goeiemorgen,goeiemorgen,"goeiemorgen; morgen; get up; goedemorgen; goedenmorgen",Streamer
!goeiemorgen2,goeiemorgen,,Streamer
